,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),1.31,0.12,1.55,1.31,1.7,1.29,1.71,0,0,1.3,1.25,0,1.31,1,1.24,0,1.34,1
Extreme precipitation day,0.12,0.67,3.24,0.38,4.33,0.45,4.33,1,1,0.56,0.65,1,0.74,0,0.71,0,0.96,1
Annual avg Tmax (C),21.54,0.25,22.15,23.39,24.2,24.17,26.81,3,3,21.89,23.53,3,24.04,3,23.94,3,25.94,3
Maximum Daily Precipitation (mm/day),62.91,18.22,202.54,68.48,228.86,68.79,241.96,1,1,74.38,72.47,1,77.02,1,78.31,1,84.65,1
SPEI,0.01,0.25,-0.64,-0.18,-0.78,-0.44,-1.56,1,2,-0.12,-0.07,0,-0.24,1,-0.48,2,-0.94,3
Heating Degree Days,2284.76,125.54,2890.16,1564.29,2376.44,1354.05,2425.88,0,0,2151.83,1527.73,0,1361.52,0,1398.09,0,796.24,0
Extreme Degree Days,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
Cooling Degree Days,458.58,55.0,730.6,935.33,1465.38,1141.95,2308.78,3,3,534.87,943.94,3,1105.85,3,1090.04,3,1842.84,3
Wildfire,,,,35.51,,36.84,,3,3,34.08,36.35,3,34.67,3,35.03,3,38.64,4
