,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median,1990_2019_mean,1990_2019_std,1990_2019_min,1990_2019_max,1990_2019_median
0,Hanford Office of River Protection,Hanford ,WA,3311.164103515012,234.33007910162914,2792.818072161002,3869.7612741524945,3303.213439374661,3356.801962280283,3425.0503509521577,3510.1398617117848,3607.7521533639188,3704.687309286945,4243.371592049189,413.0402363078346,3314.5791867501484,5083.868696463459,4269.2712640816935,4702.103882465779,780.9377505825657,3371.4385654122584,6419.864057791586,4616.736483241502,3571.612262955097,278.0942435564402,2991.5115216064537,4170.142685198113,3573.484018903469
1,Moab,Moab,UT,3365.385147343858,244.13936636433704,2858.8127124023513,3961.5152346365885,3354.2785677664706,3410.9174155099136,3472.8702442278272,3565.5416371372858,3687.40914603098,3775.039665592748,4339.074231852162,396.63495250506776,3424.1908776855553,5269.768519723085,4366.8780880737395,4823.461919899808,808.2780159419183,3401.415855625706,6604.6483703613385,4762.794475446439,3656.5211003556365,281.2409690368172,3093.9068005371173,4215.812180001404,3659.1566530936198
2,Oak Ridge,ORNL,TN,4238.464956338076,248.8557524459797,3696.1802152797254,4899.416004638683,4221.269354160864,4282.872333461226,4349.01230582102,4432.340484531958,4559.299235883451,4656.969002707356,5192.723609319109,407.8186999502552,4266.769901210249,6132.552797764381,5216.736946890705,5665.7237669266,798.5488807077969,4261.117370779864,7403.593303397054,5582.6007147216915,4524.333181831859,286.78402626750494,3964.640732770657,5140.986294904447,4522.0406969343
3,Portsmouth,Portsmouth,OH,3434.3715737214466,223.79642513716317,2929.9756075613923,4020.4013428606404,3421.3136552647275,3486.772375226711,3537.1414481898805,3616.4171170480004,3713.1423805454883,3798.906104540153,4327.648411429713,383.0761414819032,3439.15928388324,5179.666253749312,4358.512513340551,4790.404635882635,759.8340004511845,3461.8587888009297,6427.40162449429,4702.240483965203,3700.9954572315023,261.10473770072105,3185.9276322719124,4235.535280936114,3698.590321132124
4,Savannah River Site,SRS,SC,5741.614819817069,298.41170983700374,5110.466907348644,6537.023944440583,5723.005302298423,5787.066198120128,5874.950143040261,5986.631314610086,6125.7824431065255,6239.648802206871,6753.932710411572,437.42954423505614,5767.0609810965525,7832.041503034334,6770.183824768081,7260.500830464941,854.1137491629395,5748.365902535588,9164.79875165668,7175.005871364061,6056.9409124154645,326.77950108631484,5409.250460030704,6787.392548217786,6050.305037318651
5,Waste Isolation Pilot Plant (WIPP),WIPP,NM,5375.183012354337,272.9463009015368,4753.9352686418915,6059.9789190673955,5358.5195295933445,5432.505557948533,5513.53450783867,5602.156309727272,5719.129495108481,5810.70467644829,6532.962012167591,481.0397922401865,5413.243344464996,7549.047675606877,6569.446507350388,7116.32113411948,1008.3885713769301,5368.605936715274,9298.70620291575,6997.538337707533,5672.565383664598,327.8926427950098,4998.297366420212,6331.70087402345,5652.621066807349
6,West Valley Demonstration Project,WVDP,NY,1990.6475737030719,181.71786606074573,1589.970275704526,2429.619308035722,1976.8250395856653,2032.382808576318,2084.3434888131346,2143.346281389516,2221.6641651698587,2287.017234976639,2722.3060176277895,323.8655832964758,1985.5370070975239,3387.543249075761,2758.058185468409,3127.419968826627,650.6066265576919,2010.6462333461282,4533.419706246522,3058.9867543683813,2194.337453829768,204.7854274322714,1783.9612928990016,2651.6144578334342,2176.62321794783
7,Paducah,Paducah,KY,4691.312907672815,256.58963173312435,4132.370052403051,5360.091247558605,4678.928055594319,4741.516216343481,4812.873351614828,4899.328502458855,5008.586758902423,5118.798394383032,5659.010998298199,421.2549319647769,4711.6302750941795,6645.421946934303,5691.301772591738,6196.741172317469,849.8669370206136,4671.622154192253,8112.5876403808725,6120.585692007893,4971.903177403052,314.3557685490479,4370.989498901377,5660.714097813209,4968.234257812512
8,Energy Technology Engineering Center (ETEC),ETEC,CA,3743.605507754905,283.00728811412745,3102.5722830636287,4490.345472499317,3731.8684459141464,3800.816298130593,3874.560976606111,3965.1896866280827,4093.2452177647315,4199.298804146917,4846.770793624877,477.3597344588569,3767.723077828558,5881.563431396498,4875.940376848509,5361.053544463663,883.6583297074708,3722.246817626968,7251.345548008526,5281.823922337139,4043.4690301483747,332.14426493402175,3349.188348999037,4733.095223301494,4039.2551223319065
