,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,hist_max,hist_median,hist_pr60,hist_pr70,hist_pr80,hist_pr90,hist_pr95,rcp45_mean,rcp45_std,rcp45_min,rcp45_max,rcp45_median,rcp85_mean,rcp85_std,rcp85_min,rcp85_max,rcp85_median,1990_2019_mean,1990_2019_std,1990_2019_min,1990_2019_max,1990_2019_median
0,Hanford Office of River Protection,Hanford ,WA,4413.0828487403915,348.3712479903155,3649.0238135637455,5287.071936035146,4393.0528257969345,4477.422820347367,4583.950787070127,4716.2457017299,4865.733679286402,4978.51386443001,3596.9840428560906,414.2477967829392,2589.649636840812,4704.183151114316,3571.3309526497883,3320.4015059306976,598.7581787144898,2031.4081975446356,4706.386188180097,3329.381178763244,3571.612262955097,278.0942435564402,2991.5115216064537,4170.142685198113,3573.484018903469
1,Moab,Moab,UT,5420.166743436531,387.6805015772929,4435.9622817121135,6274.475480041494,5431.445517294738,5524.187645612435,5625.16376133509,5734.828818402962,5899.090072784413,6023.388903350819,4408.0420715835,455.0582888010573,3290.538181152336,5607.98469076973,4380.007562931596,4051.823784833163,712.3976365858177,2526.3882641601494,5723.835497654495,4059.032022029323,3656.5211003556365,281.2409690368172,3093.9068005371173,4215.812180001404,3659.1566530936198
2,Oak Ridge,ORNL,TN,3802.2637730119577,363.9772679038063,2923.46934906005,4645.532633797773,3806.63715829031,3904.7215874372127,3994.225401763907,4105.434456830697,4245.22239996773,4376.958261391766,3128.203844838638,379.8896661596015,2174.721445748458,4119.117355346671,3119.667409602566,2896.5760511445783,523.2414458177458,1672.817755998878,4169.318970162519,2892.566207318979,4524.333181831859,286.78402626750494,3964.640732770657,5140.986294904447,4522.0406969343
3,Portsmouth,Portsmouth,OH,5014.618611720327,386.63624862574466,4073.4263725498645,5910.951096845344,5023.106385127468,5122.507995736249,5221.63611668177,5339.682530081603,5484.584655718113,5606.878153370439,4169.952096719957,427.9023448987141,3074.946459655754,5306.382342529287,4157.574424046098,3878.1087500222534,619.4068222960822,2419.827418997621,5287.430854099808,3873.905601130885,3700.9954572315023,261.10473770072105,3185.9276322719124,4235.535280936114,3698.590321132124
4,Savannah River Site,SRS,SC,2311.4589624537184,290.89170507893573,1600.8215563964782,2975.911216605043,2314.7327188982213,2387.725373796728,2472.445876552029,2556.422544163288,2674.420678449351,2753.764002511153,1837.2805393631452,286.8690039501712,1116.2302665492416,2592.962003391803,1833.9213963099824,1670.984012285592,379.12204357553424,836.244902256553,2597.3232851736816,1656.7812442452507,6056.9409124154645,326.77950108631484,5409.250460030704,6787.392548217786,6050.305037318651
5,Waste Isolation Pilot Plant (WIPP),WIPP,NM,2538.1068253365265,206.15186727911012,2029.918928004667,3036.2999710082927,2542.5812196567995,2586.5634727259962,2646.229808197014,2708.4031845092695,2789.8167684282494,2857.277789982379,1948.9329688078328,257.9565997469469,1348.1978564453068,2605.277175292961,1934.3251461355956,1727.0434900366076,435.38506623366663,798.0866665213405,2669.5373643711564,1740.8099572317878,5672.565383664598,327.8926427950098,4998.297366420212,6331.70087402345,5652.621066807349
6,West Valley Demonstration Project,WVDP,NY,7452.753453207198,439.29079972358426,6382.709467817023,8455.131862662165,7467.2238527570335,7587.659285103921,7687.126128910596,7822.179184352318,7982.452489907388,8135.610445763712,6253.710590054302,535.696072911154,4892.89461604526,7595.601825735897,6211.356481039853,5825.0260113826735,830.1759495318665,3948.031504690979,7561.748558262405,5818.183401511045,2194.337453829768,204.7854274322714,1783.9612928990016,2651.6144578334342,2176.62321794783
7,Paducah,Paducah,KY,3782.0250321275275,323.8648202957365,2985.3011793300007,4550.68171901157,3787.23247569492,3875.1178490338925,3959.0355858720973,4049.0350364031024,4174.385096893301,4267.775926099497,3112.445673641034,356.2774864231405,2201.998428257527,4054.778905857623,3100.6515544564304,2875.706548259693,510.2298109182665,1676.2625499616295,4103.102147957929,2876.1978640529014,4971.903177403052,314.3557685490479,4370.989498901377,5660.714097813209,4968.234257812512
8,Energy Technology Engineering Center (ETEC),ETEC,CA,2281.973148551463,249.0898139565966,1671.0843467494321,2890.159454694464,2284.756966378338,2343.4891986083876,2410.2954078020257,2486.5154931640523,2588.349758082788,2662.37245008195,1586.0669826046008,312.9678408909097,917.4379604666499,2376.4378477259943,1564.285821358808,1350.5424977737857,473.4842867041976,427.93296700613377,2425.881296037936,1354.0547843279073,4043.4690301483747,332.14426493402175,3349.188348999037,4733.095223301494,4039.2551223319065
