,hist_mean,hist_std,1990_2019_mean,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85
Annual precipitation (mm/day),3.64,0.12,3.72,3.86,4.26,3.96,4.43,2,3
Extreme precipitation day,2.15,1.56,2.63,2.82,8.52,3.34,9.24,1,2
Annual avg Tmax (C),20.88,0.37,21.5,22.89,23.96,23.77,26.65,3,3
Maximum Daily Precipitation (mm/day),71.29,24.8,77.18,77.84,167.64,88.65,200.81,1,2
SPEI,-0.0,0.3,0.01,0.13,-0.58,0.17,-0.72,0,0
Heating Degree Days,3802.26,363.98,,3128.2,4119.12,2896.58,4169.32,0,0
Extreme Degree Days,0.01,0.04,,0.17,5.39,3.08,50.23,3,3
Cooling Degree Days,1270.15,152.39,,1892.49,2490.14,2237.86,3534.11,3,3
