,mean,std,date
0,0.8852850042233383,2.0916216111072528,1950-01-01
1,2.647019859926201,4.630742905125469,1950-01-02
2,2.621060292520789,5.550736402504453,1950-01-03
3,1.9824529790769572,3.730848828261811,1950-01-04
4,1.820144038122505,3.022636147314186,1950-01-05
5,5.681474228497661,16.288812216297547,1950-01-06
6,1.2199810679833587,1.7932927693303327,1950-01-07
7,3.6227290936689576,6.865451474528952,1950-01-08
8,2.227824180486745,4.149652627637827,1950-01-09
9,1.1828381906655392,2.14129192999944,1950-01-10
10,1.2239983868312265,1.8976605134959468,1950-01-11
11,2.885659010332477,4.489546800565012,1950-01-12
12,2.7473617998891444,7.080506957385705,1950-01-13
13,2.288764967111742,8.163582456114371,1950-01-14
14,5.4264915347955265,13.03426093139846,1950-01-15
15,4.673929968963161,10.477593335845377,1950-01-16
16,3.4177683165450747,8.083211412232414,1950-01-17
17,0.7248614732556494,0.9147180649801013,1950-01-18
18,4.112279500051435,9.86868581808591,1950-01-19
19,3.311436365129339,5.573716500579402,1950-01-20
20,3.086777650735582,5.530762874420739,1950-01-21
21,3.6866290881724644,8.295492669220272,1950-01-22
22,2.08136464654152,3.9530609276717357,1950-01-23
23,0.593994843243958,1.282826467601789,1950-01-24
24,0.39014357225823915,0.9086024302259365,1950-01-25
25,1.2722539161700297,2.238506707969765,1950-01-26
26,1.7708507456648346,3.5859555619330967,1950-01-27
27,0.7389251329836303,1.2386828516756894,1950-01-28
28,3.286590982315829,5.109058518421226,1950-01-29
29,1.112231184683716,2.115983804544957,1950-01-30
30,0.5597996278733522,1.6083037391989672,1950-01-31
31,2.0675777605772185,3.1856650147207177,1950-02-01
32,1.7632907271555658,2.8352965879861114,1950-02-02
33,1.004278339834335,2.4337025208431116,1950-02-03
34,2.192564966233996,4.232100201490233,1950-02-04
35,1.0680332875381282,2.107747894537461,1950-02-05
36,2.4143330156221054,2.8653105978725173,1950-02-06
37,2.475324639168061,5.217451493076089,1950-02-07
38,2.0853812638668905,4.943775325590688,1950-02-08
39,1.5282258501559096,3.5251416690155963,1950-02-09
40,1.8437121272914478,4.114780707478252,1950-02-10
41,0.9042984870965094,1.4798569161445365,1950-02-11
42,2.4506425325073775,4.324899273546085,1950-02-12
43,4.408816172794364,7.164997548935394,1950-02-13
44,3.7637850527192183,7.7304190725133095,1950-02-14
45,1.756643142419177,4.622261110159516,1950-02-15
46,0.5333712648799909,0.8090367770565872,1950-02-16
47,0.6744874216175438,1.043241991488177,1950-02-17
48,1.8924168387197173,6.994149179570986,1950-02-18
49,2.5521510384610986,4.845683863381904,1950-02-19
50,1.1524461447022207,2.0802226278819944,1950-02-20
51,3.0755641659717576,6.256516470890991,1950-02-21
52,4.887843711782937,10.44377869831345,1950-02-22
53,3.001141647629473,3.857188061748524,1950-02-23
54,0.43725678309393906,0.6764401074106635,1950-02-24
55,2.0220870648959783,2.915837676695544,1950-02-25
56,1.5351308691801282,2.611769316356582,1950-02-26
57,2.5052511544864893,3.233515693092075,1950-02-27
58,2.1481403424591656,5.637200094595931,1950-02-28
59,3.390190496559496,5.463675875944083,1950-03-01
60,1.8194060749270389,3.889506629260719,1950-03-02
61,3.953391295226538,5.396502598635598,1950-03-03
62,2.5140996724076103,6.687466353833682,1950-03-04
63,2.3091169421344864,3.906853817824009,1950-03-05
64,3.4822460065957523,5.883480255314556,1950-03-06
65,2.618744900986972,3.337363239648554,1950-03-07
66,5.311789054771258,7.095916715140548,1950-03-08
67,2.2162709898631356,3.9200847496109574,1950-03-09
68,1.7001811419114736,2.9654243124368405,1950-03-10
69,1.750368194611188,3.0330156512482236,1950-03-11
70,6.453746242186753,11.759262391945063,1950-03-12
71,3.1689040055165867,4.629384717703824,1950-03-13
72,3.8788920818270918,9.381444897177994,1950-03-14
73,3.2075650713003205,5.404846092064239,1950-03-15
74,2.2864152271982414,2.5056076799470626,1950-03-16
75,4.44562293731516,8.032501949247669,1950-03-17
76,3.3920707707303728,4.841776162010951,1950-03-18
77,2.8096768799904175,5.2709978577366545,1950-03-19
78,1.1055508724918386,1.7429375610329763,1950-03-20
79,2.8933933474036166,4.590917737101774,1950-03-21
80,4.378780357832771,5.224721368964516,1950-03-22
81,3.2664222754777126,3.9103305456324864,1950-03-23
82,2.153586107280197,2.8020942161362403,1950-03-24
83,1.197159673724205,1.783308535684579,1950-03-25
84,1.52885940521758,1.9498281424918285,1950-03-26
85,1.6383535603673798,2.289739125479045,1950-03-27
86,1.5725102178423964,2.437299319029681,1950-03-28
87,2.6816257689071272,2.9854291903886563,1950-03-29
88,4.361790205959031,6.574077862851988,1950-03-30
89,2.346313373709563,3.5528686432302474,1950-03-31
90,2.9143834781799733,6.643083405036088,1950-04-01
91,1.3480335980732758,1.8561708515409343,1950-04-02
92,1.242071860984392,1.6453561563520405,1950-04-03
93,1.92143184563065,2.974765989856853,1950-04-04
94,3.959891847781754,6.140485726033002,1950-04-05
95,2.2478759941545183,2.6181098338095397,1950-04-06
96,3.943793008407478,4.7658349387698555,1950-04-07
97,2.1960999978806024,4.2211753403615715,1950-04-08
98,2.720621189603532,5.835308468050471,1950-04-09
99,3.321335944649815,4.98697373552113,1950-04-10
100,2.617183194213015,2.8679216477244767,1950-04-11
101,3.5669978126991606,6.801042583883651,1950-04-12
102,2.5388807908841824,3.755911136308138,1950-04-13
103,2.0076540076323517,3.3989784447104476,1950-04-14
104,3.8805810063162687,5.0181901057664735,1950-04-15
105,3.301756172628042,3.0978982547692464,1950-04-16
106,2.9894774744337025,4.295822809569692,1950-04-17
