,Name,NameMnemonic,StateCode,hist_mean,hist_max,hist_median,hist_70p,hist_95p,hist_10yr_mean,hist_10yr_max,hist_10yr_median,hist_10yr_70p,hist_10yr_95p,rcp45_mean,rcp45_max,rcp45_median,mid_rcp45_mean,mid_rcp45_max,mid_rcp45_median,late_rcp45_mean,late_rcp45_max,late_rcp45_median,rcp85_mean,rcp85_max,rcp85_median,mid_rcp85_mean,mid_rcp85_max,mid_rcp85_median,late_rcp85_mean,late_rcp85_max,late_rcp85_median,shifting_rcp45,shifting_rcp85,shifting_mid_rcp45,shifting_late_rcp45,shifting_mid_rcp85,shifting_late_rcp85
0,Hanford Office of River Protection,Hanford ,WA,0.01,0.34,0.0,0.0,0.0,0.03,0.23,0.0,0.0,0.14,0.27,7.68,0.0,0.19,0.93,0.0,0.46,2.61,0.18,6.35,81.61,0.1,0.62,4.26,0.0,25.05,66.73,19.93,0,3,0,3,0,3
1,Moab,Moab,UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,2.77,0.0,0.02,0.22,0.0,0.36,1.36,0.13,6.14,65.3,0.01,0.15,1.29,0.0,22.37,52.53,18.14,0,3,0,3,0,3
2,Oak Ridge,ORNL,TN,0.01,0.33,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.17,5.39,0.0,0.22,1.38,0.0,0.3,1.88,0.0,3.08,50.23,0.0,0.3,1.8,0.0,9.75,34.73,5.64,0,0,0,0,0,3
3,Portsmouth,Portsmouth,OH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,3.0,0.0,0.15,1.15,0.0,0.14,0.93,0.0,2.55,35.66,0.0,0.25,1.16,0.03,8.24,27.28,4.86,0,0,0,0,3,3
4,Savannah River Site,SRS,SC,0.14,3.74,0.0,0.03,0.44,0.23,1.51,0.0,0.07,1.08,1.33,23.93,0.0,1.27,8.53,0.08,2.03,10.14,0.57,10.77,148.44,0.45,2.01,10.71,0.33,32.31,101.42,20.73,0,3,2,2,2,3
5,Waste Isolation Pilot Plant (WIPP),WIPP,NM,0.01,0.41,0.0,0.0,0.02,0.01,0.13,0.0,0.0,0.08,1.9,28.7,0.05,0.74,5.11,0.0,5.02,18.49,3.64,23.84,207.07,1.45,2.8,13.52,0.88,75.58,164.18,62.27,3,3,0,3,3,3
6,West Valley Demonstration Project,WVDP,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.12,4.96,0.0,0.02,0.17,0.0,0.28,2.17,0.0,0,0,0,0,0,0
7,Paducah,Paducah,KY,0.15,4.59,0.0,0.0,0.41,0.26,2.05,0.0,0.01,1.36,1.51,30.97,0.0,1.73,11.44,0.11,2.0,11.02,0.45,17.94,198.6,1.05,2.88,13.85,1.12,61.19,161.72,50.37,0,3,2,2,2,3
8,Energy Technology Engineering Center (ETEC),ETEC,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
