,Name,NameMnemonic,StateCode,hist_mean,hist_std,hist_min,rcp45_mean,rcp45_std,rcp45_min,rcp85_mean,rcp85_std,rcp85_min,hist_10yr_mean,hist_10yr_min,hist_10yr_std,mid_rcp45_mean,mid_rcp45_min,late_rcp45_mean,late_rcp45_min,mid_rcp85_mean,mid_rcp85_min,late_rcp85_mean,late_rcp85_min,recent_30yr_mean,recent_30yr_min,zscore_rcp45,shifting_rcp45,zscore_rcp85,shifting_rcp85,zscore_mid_rcp45,shifting_mid_rcp45,zscore_late_rcp45,shifting_late_rcp45,zscore_mid_rcp85,shifting_mid_rcp85,zscore_late_rcp85,shifting_late_rcp85
0,Hanford Office of River Protection,Hanford ,WA,-0.0,0.23,-0.4,-0.09,0.36,-0.83,-0.15,0.33,-0.89,-0.1,-0.4,0.24,-0.21,-0.83,0.27,-0.56,0.02,-0.62,-0.25,-0.82,0.01,-0.4,-0.38,1,-0.65,1,-0.47,1,1.51,0,0.48,0,-0.63,1
1,Moab,Moab,UT,-0.01,0.29,-0.54,-0.34,0.28,-1.27,-0.59,0.37,-1.49,-0.16,-0.39,0.17,-0.17,-0.47,-0.41,-0.81,-0.57,-1.01,-0.94,-1.49,-0.1,-0.54,-1.14,2,-1.99,2,-0.07,1,-1.44,2,-2.38,3,-4.46,3
2,Oak Ridge,ORNL,TN,-0.0,0.3,-0.61,0.13,0.33,-0.58,0.17,0.36,-0.72,0.06,-0.29,0.24,0.11,-0.32,0.12,-0.17,0.3,-0.27,-0.06,-0.64,0.01,-0.49,0.45,0,0.57,0,0.2,0,0.25,0,0.99,0,-0.49,1
3,Portsmouth,Portsmouth,OH,0.0,0.24,-0.69,0.32,0.37,-0.53,0.36,0.36,-0.52,0.03,-0.23,0.19,0.27,-0.13,0.39,-0.01,0.32,-0.01,0.31,-0.33,0.01,-0.69,1.31,0,1.49,0,1.32,0,1.95,0,1.6,0,1.54,0
4,Savannah River Site,SRS,SC,-0.01,0.3,-0.55,0.15,0.33,-0.63,0.22,0.33,-0.49,0.03,-0.17,0.13,0.35,-0.49,0.24,-0.03,0.17,-0.23,0.15,-0.3,0.03,-0.5,0.52,0,0.75,0,2.53,0,1.61,0,1.14,0,0.91,0
5,Waste Isolation Pilot Plant (WIPP),WIPP,NM,-0.01,0.3,-0.58,-0.38,0.27,-0.97,-0.61,0.39,-1.46,-0.04,-0.4,0.2,-0.22,-0.43,-0.48,-0.79,-0.56,-1.19,-1.01,-1.43,-0.07,-0.58,-1.24,2,-2.0,3,-0.96,1,-2.24,3,-2.67,3,-4.95,3
6,West Valley Demonstration Project,WVDP,NY,0.01,0.23,-0.34,0.29,0.37,-0.77,0.3,0.33,-0.54,-0.1,-0.29,0.14,0.36,0.08,0.29,-0.14,0.24,-0.1,0.4,-0.24,0.05,-0.34,1.21,0,1.24,0,3.27,0,2.79,0,2.41,0,3.56,0
7,Paducah,Paducah,KY,-0.01,0.23,-0.5,0.1,0.34,-0.67,0.11,0.34,-0.98,-0.0,-0.37,0.19,0.03,-0.34,0.07,-0.21,-0.03,-0.98,0.02,-0.66,-0.05,-0.55,0.45,0,0.51,0,0.16,0,0.37,0,-0.16,1,0.12,0
8,Energy Technology Engineering Center (ETEC),ETEC,CA,0.01,0.25,-0.64,-0.18,0.27,-0.78,-0.44,0.4,-1.56,-0.12,-0.64,0.24,-0.07,-0.53,-0.24,-0.5,-0.48,-0.92,-0.94,-1.5,0.02,-0.64,-0.75,1,-1.81,2,0.19,0,-0.48,1,-1.5,2,-3.38,3
