,NameMnemonic,1995_12mo_avg,1996_12mo_avg,1997_12mo_avg,1998_12mo_avg,1999_12mo_avg,2000_12mo_avg,2001_12mo_avg,2002_12mo_avg,2003_12mo_avg,2004_12mo_avg,2045_12mo_avg,2046_12mo_avg,2047_12mo_avg,2048_12mo_avg,2049_12mo_avg,2050_12mo_avg,2051_12mo_avg,2052_12mo_avg,2053_12mo_avg,2054_12mo_avg,2085_12mo_avg,2086_12mo_avg,2087_12mo_avg,2088_12mo_avg,2089_12mo_avg,2090_12mo_avg,2091_12mo_avg,2092_12mo_avg,2093_12mo_avg,2094_12mo_avg
0,Hanford ,17.09817457,15.73784817,17.18246865,15.33687985,18.015686,17.29895188,15.47479302,17.66446614,19.64808983,22.18092846,17.53235328,15.32677318,17.52244336,17.751418,17.72372449,17.58443952,16.53038866,17.83064973,18.56285239,21.67054373,17.83616795,16.4098757,17.25926041,16.56964617,15.94211624,17.39084358,18.82043614,18.34935779,17.1683629,24.49127159
1,Moab,25.16616282,21.56263619,20.18853375,21.0765309,23.86950743,22.71257523,25.70095855,24.18652856,22.45903083,24.25297875,24.02862405,24.94222584,23.83869044,20.79149629,23.10192981,21.69428686,26.5334816,19.61193514,20.7700958,21.78464392,25.82407619,24.76193861,24.83639564,24.26453191,23.67292643,24.2921405,26.22490226,26.11568024,25.88891645,28.71639773
2,ORNL,4.58715845,4.001253386,3.364414733,3.970760741,5.081704732,4.710428733,4.971056555,5.710763947,4.711814594,3.118746129,5.945333367,5.601233346,4.453650346,4.539788067,5.589194212,4.864596358,5.347756083,5.071518062,4.682744413,5.509155278,5.555178962,5.150114929,5.702615752,5.041030545,5.395722531,6.827541973,6.049337421,6.681093293,5.038056125,9.99248515
3,Portsmouth,4.208482761,4.07182046,3.732860627,4.017349077,5.483527341,4.518230566,5.28284042,5.445783536,4.948171831,3.969860881,5.949257668,5.867149458,3.69103748,5.254819259,5.31444815,5.771372,6.591280983,5.87657142,4.33013409,6.801199405,5.6461206,7.232022303,5.97311877,4.868631326,6.194797739,6.981156385,5.696180474,7.303301216,5.572793693,14.40194907
4,SRS,8.496002143,9.715062913,6.254112167,4.887678381,7.534819297,7.663828595,7.259051835,7.642987401,6.910610619,6.05154612,8.826476662,10.30201566,7.780160261,8.054350137,9.310097055,8.540315823,8.250504044,8.354397947,7.195595353,9.653803043,9.510076871,8.166885719,10.3056167,7.220046351,8.725024169,11.80475343,11.51856601,9.623639094,8.968351752,11.56734266
5,WIPP,21.55823147,22.52487079,20.4480056,25.80329207,19.02333746,22.29145543,23.73161631,18.35385456,26.05611387,21.27438626,18.774854,23.88218218,21.82286785,19.58406615,26.52656207,24.15657622,20.11943425,18.07765739,25.83588287,17.97497073,26.42873518,26.41895408,30.81452389,25.15795963,31.27288945,31.0029202,31.37103972,34.27118216,34.8171906,26.51455806
6,WVDP,2.190639751,1.664073703,1.730857829,2.489212315,2.234990189,2.470720407,2.109354493,2.608539789,1.810633813,1.793632311,2.96104231,2.64156203,2.252291863,2.716839285,2.391621184,2.6315063,3.409963309,3.526860706,2.38911849,3.267122762,2.228632391,2.830527108,2.182878498,2.5655675,2.945534682,2.685510821,2.390972305,3.257129598,2.23505072,12.02491239
7,Paducah,7.368377456,6.774370598,7.131404107,8.250547489,10.56305094,8.482253888,8.673786581,9.931189048,9.857375161,6.000974506,11.85571727,9.778166971,6.244290438,8.939617265,9.437179627,9.992174167,11.10170764,9.885584657,6.468486208,11.43328082,9.281636409,11.39241564,11.5247896,9.918139574,11.08759063,12.23391132,11.23694726,13.99969309,10.29627644,19.91932819
8,ETEC,33.88268608,32.030427,32.15276894,30.55122262,37.18551192,30.414138,36.46347463,37.59519557,34.93584525,35.58253668,36.18525394,36.92360073,35.55626677,34.17314561,33.02434986,40.01671241,40.88479406,32.43015719,36.27601886,37.9821586,37.47866841,37.66246257,34.25908965,30.86833708,31.32283075,32.07511153,35.26633091,33.95845927,32.97371319,40.86855643
