,hist_mean,hist_std,hist_max,rcp45_mean,rcp45_max,rcp85_mean,rcp85_max,shifting_rcp45,shifting_rcp85,hist_10yr_mean,mid_rcp45_mean,shifting_mid_rcp45,late_rcp45_mean,shifting_late_rcp45,mid_rcp85_mean,shifting_mid_rcp85,late_rcp85_mean,shifting_late_rcp85
Annual precipitation (mm/day),0.52,0.02,0.56,0.55,0.63,0.55,0.64,2,2,0.53,0.55,2,0.58,3,0.55,2,0.59,3
Extreme precipitation day,0.6,0.78,4.0,0.98,4.86,1.14,5.48,1,1,1.13,1.22,1,1.39,1,1.42,1,1.78,2
Annual avg Tmax (C),19.48,0.29,20.25,21.67,22.95,22.59,25.4,3,3,19.83,21.79,3,22.39,3,22.24,3,24.81,3
Maximum Daily Precipitation (mm/day),11.87,2.48,33.72,13.13,31.31,13.45,34.34,1,1,14.47,13.58,1,14.98,1,14.16,1,16.49,2
SPEI,-0.0,0.23,-0.4,-0.09,-0.83,-0.15,-0.89,1,1,-0.1,-0.21,1,0.27,0,0.02,0,-0.25,1
Heating Degree Days,4393.05,190.9,5287.07,3571.33,4704.18,3329.38,4706.39,0,0,4286.38,3539.37,0,3345.97,0,3433.16,0,2640.05,0
Extreme Degree Days,0.0,0.0,0.34,0.0,7.68,0.1,81.61,0,3,0.03,0.19,0,0.46,3,0.62,0,25.05,3
Cooling Degree Days,800.06,77.49,1176.44,1390.13,1997.86,1654.07,2900.84,3,3,909.92,1394.56,3,1582.26,3,1590.9,3,2437.41,3
Wildfire,,,,17.91,,17.84,,2,2,17.56,17.8,2,18.02,2,17.56,2,18.11,2
